model,encoding,D,n,C_mix_mean,C_mix_sd
DV-QRC,Local,2,2,1.1798492972655308,0.51632204454659614
DV-QRC,Local,2,3,2.1039259738965157,0.41530910181326963
DV-QRC,Local,2,4,2.7003360538974919,0.27228892065994287
DV-QRC,Local,2,5,3.3859774030782797,0.33284666725868028
DV-QRC,Local,2,6,3.9850608674546169,0.20242514837535161
DV-QRC,Local,3,3,1.7037571788661996,0.64562156026311945
DV-QRC,Local,3,4,2.942882972913897,0.24562310067773221
DV-QRC,Local,3,5,4.4986343445597488,0.38747965689212216
DV-QRC,Local,3,6,5.7886390272415662,0.26457724265590643
DV-QRC,Local,4,4,2.1443704792467129,0.30747597988668568
DV-QRC,Local,4,5,3.5385041309006091,0.42137478698318831
DV-QRC,Local,4,6,5.5947899445798237,0.22822718401537001
DV-QRC,Local,5,5,2.9971130512078576,0.5521575598552777
DV-QRC,Local,5,6,3.9113641225297142,0.39430886073250893
DV-QRC,Clustered,2,2,0.69114745707771919,0.3724135891748851
DV-QRC,Clustered,2,3,1.6099508907563935,0.39903336197226213
DV-QRC,Clustered,2,4,2.4089860028076862,0.32581031652871761
DV-QRC,Clustered,2,5,3.1268483153046702,0.30707338767172621
DV-QRC,Clustered,2,6,4.1628466764238565,0.38799678073639055
DV-QRC,Clustered,3,3,1.5785827661788594,0.36438755361926817
DV-QRC,Clustered,3,4,2.8039849153127134,0.50461775601681891
DV-QRC,Clustered,3,5,3.9111025664407153,0.56672501115775065
DV-QRC,Clustered,3,6,5.2330869152370951,0.35768117213627754
DV-QRC,Clustered,4,4,1.9329323525901139,0.57755687457336213
DV-QRC,Clustered,4,5,3.5973213089402578,0.50687082058557331
DV-QRC,Clustered,4,6,5.4880125371399693,0.48698973926916411
DV-QRC,Clustered,5,5,2.7065749925854421,0.41957434450986669
DV-QRC,Clustered,5,6,4.2218041231673382,0.52301208846497627
DV-QRC,Global,2,2,0.95761363601049498,0.30085102328751134
DV-QRC,Global,2,3,1.7981586107323713,0.27614155871689144
DV-QRC,Global,2,4,2.4545973904147562,0.40511719714186911
DV-QRC,Global,2,5,3.5374323368866785,0.24930903128889131
DV-QRC,Global,2,6,4.1334008799858113,0.23503124395112507
DV-QRC,Global,3,2,2.0802099079992509,0.38350778637316829
DV-QRC,Global,3,3,2.8723431379839521,0.50219399970130407
DV-QRC,Global,3,4,3.4091098087184353,0.66136370164556635
DV-QRC,Global,3,5,4.9457672709647031,0.56996053292170501
DV-QRC,Global,3,6,6.4300038454533155,0.55117188409571494
DV-QRC,Global,4,2,2.4417632180330973,0.2647910203096544
DV-QRC,Global,4,3,3.6254258460360744,0.35010313350428551
DV-QRC,Global,4,4,4.8193197538216506,0.42058279949795319
DV-QRC,Global,4,5,6.1139739368242791,0.42922996966170757
DV-QRC,Global,4,6,7.5478684698853344,0.60545085830912293
DV-QRC,Global,5,2,2.6335563953307251,0.18789888846791566
DV-QRC,Global,5,3,3.9336838246907724,0.26702945941702994
DV-QRC,Global,5,4,5.1974624193784908,0.33042853782062243
DV-QRC,Global,5,5,6.7037437597795595,0.43654878033454719
DV-QRC,Global,5,6,8.1465930848679555,0.58457937734226717
CV-QRC,Local,2,2,0.99999132532227497,3.0340563034980163e-06
CV-QRC,Local,2,3,1.1611836125167638,0.12749629204283922
CV-QRC,Local,2,4,2.9156931425343924,0.35712291523454842
CV-QRC,Local,2,5,4.0055313812350448,0.16482459247868478
CV-QRC,Local,2,6,6.3788953395742292,1.0555933557595807
CV-QRC,Local,3,3,2.9999701838475623,3.1225023054526326e-05
CV-QRC,Local,3,4,3.3548889295765183,0.17357249680855866
CV-QRC,Local,3,5,5.8744149489833744,0.38977951687655338
CV-QRC,Local,3,6,9.3690744939567594,0.61932474972732809
CV-QRC,Local,4,4,5.9999662185505613,2.0285086575086137e-06
CV-QRC,Local,4,5,6.463019071968283,0.23241514758925202
CV-QRC,Local,4,6,9.2279601955491053,0.30362491958111898
CV-QRC,Local,5,5,9.9999779950257945,6.5373549834547959e-06
CV-QRC,Local,5,6,10.592872125460659,0.19556345346440704
CV-QRC,Clustered,2,2,0.99991276846052068,6.7195735009041758e-05
CV-QRC,Clustered,2,3,1.1404047369431458,0.1215700343628397
CV-QRC,Clustered,2,4,2.0022175473329265,0.37930885061203279
CV-QRC,Clustered,2,5,3.3156971872466836,0.26273649026583018
