model,encoding,gamma,encoding_strength,coupling_strength,C_mix
DV-QRC,Local,7,0.0001,1.0000000000000001e-05,0
DV-QRC,Local,7,0.0001,2.1544346900318823e-05,0
DV-QRC,Local,7,0.0001,4.6415888336127818e-05,0
DV-QRC,Local,7,0.0001,0.0001,0
DV-QRC,Local,7,0.0001,0.00021544346900318823,0
DV-QRC,Local,7,0.0001,0.00046415888336127773,0
DV-QRC,Local,7,0.0001,0.001,0
DV-QRC,Local,7,0.0001,0.0021544346900318821,0
DV-QRC,Local,7,0.0001,0.0046415888336127772,0
DV-QRC,Local,7,0.0001,0.01,0
DV-QRC,Local,7,0.0001,0.021544346900318822,0.001574220243628327
DV-QRC,Local,7,0.0001,0.046415888336127774,0.36943380172843654
DV-QRC,Local,7,0.0001,0.10000000000000001,0.69833894317097256
DV-QRC,Local,7,0.0001,0.21544346900318823,0.7598069661366641
DV-QRC,Local,7,0.0001,0.46415888336127725,0.91276372543268858
DV-QRC,Local,7,0.0001,1,0.99599658207635511
DV-QRC,Local,7,0.0001,2.154434690031882,0.93664310253575811
DV-QRC,Local,7,0.0001,4.6415888336127722,0.28457357621057056
DV-QRC,Local,7,0.0001,10,0.37310363119600848
DV-QRC,Local,7,0.00021544346900318845,1.0000000000000001e-05,0
DV-QRC,Local,7,0.00021544346900318845,2.1544346900318823e-05,0
DV-QRC,Local,7,0.00021544346900318845,4.6415888336127818e-05,0
DV-QRC,Local,7,0.00021544346900318845,0.0001,0
DV-QRC,Local,7,0.00021544346900318845,0.00021544346900318823,0
DV-QRC,Local,7,0.00021544346900318845,0.00046415888336127773,0
DV-QRC,Local,7,0.00021544346900318845,0.001,0
DV-QRC,Local,7,0.00021544346900318845,0.0021544346900318821,0
DV-QRC,Local,7,0.00021544346900318845,0.0046415888336127772,0
DV-QRC,Local,7,0.00021544346900318845,0.01,0.0050362998072116354
DV-QRC,Local,7,0.00021544346900318845,0.021544346900318822,0.49228321345030013
DV-QRC,Local,7,0.00021544346900318845,0.046415888336127774,0.78098355456668134
DV-QRC,Local,7,0.00021544346900318845,0.10000000000000001,0.9179180010932948
DV-QRC,Local,7,0.00021544346900318845,0.21544346900318823,0.99685236593961168
DV-QRC,Local,7,0.00021544346900318845,0.46415888336127725,1.0198695273525089
DV-QRC,Local,7,0.00021544346900318845,1,1.1681092361653265
DV-QRC,Local,7,0.00021544346900318845,2.154434690031882,1.1889664031787475
DV-QRC,Local,7,0.00021544346900318845,4.6415888336127722,0.64996730214996334
DV-QRC,Local,7,0.00021544346900318845,10,0.75137021438437168
DV-QRC,Local,7,0.00046415888336127773,1.0000000000000001e-05,0
DV-QRC,Local,7,0.00046415888336127773,2.1544346900318823e-05,0
DV-QRC,Local,7,0.00046415888336127773,4.6415888336127818e-05,0
DV-QRC,Local,7,0.00046415888336127773,0.0001,0
DV-QRC,Local,7,0.00046415888336127773,0.00021544346900318823,0
DV-QRC,Local,7,0.00046415888336127773,0.00046415888336127773,0
DV-QRC,Local,7,0.00046415888336127773,0.001,0
DV-QRC,Local,7,0.00046415888336127773,0.0021544346900318821,0
DV-QRC,Local,7,0.00046415888336127773,0.0046415888336127772,0.0034317812415531391
DV-QRC,Local,7,0.00046415888336127773,0.01,0.5290652246747064
DV-QRC,Local,7,0.00046415888336127773,0.021544346900318822,0.8435948399712131
DV-QRC,Local,7,0.00046415888336127773,0.046415888336127774,1.0007954999728033
DV-QRC,Local,7,0.00046415888336127773,0.10000000000000001,1.0653169858994183
DV-QRC,Local,7,0.00046415888336127773,0.21544346900318823,1.0650166985144063
DV-QRC,Local,7,0.00046415888336127773,0.46415888336127725,1.1237301290971542
DV-QRC,Local,7,0.00046415888336127773,1,1.3922489403230109
DV-QRC,Local,7,0.00046415888336127773,2.154434690031882,1.6189283815165854
DV-QRC,Local,7,0.00046415888336127773,4.6415888336127722,1.0546471160199518
DV-QRC,Local,7,0.00046415888336127773,10,1.0849788461486409
DV-QRC,Local,7,0.001,1.0000000000000001e-05,0
DV-QRC,Local,7,0.001,2.1544346900318823e-05,0
DV-QRC,Local,7,0.001,4.6415888336127818e-05,0
DV-QRC,Local,7,0.001,0.0001,0
DV-QRC,Local,7,0.001,0.00021544346900318823,0
DV-QRC,Local,7,0.001,0.00046415888336127773,0
