model,encoding,encoded_dimensions,NRMSE_mean,NRMSE_sd
DV-QRC,Local,1,0.041198645934408043,0.0085269064569788271
DV-QRC,Local,2,0.01198570713357584,0.0025916004326172093
DV-QRC,Local,3,0.013690842325072622,0.0051691712985443969
DV-QRC,Clustered,1,0.026583178968749545,0.0087345643881888251
DV-QRC,Clustered,2,0.013665310502958869,0.0038237672635324325
DV-QRC,Clustered,3,0.014262632823437829,0.0031219076053885992
DV-QRC,Global,1,0.028230168751086478,0.0093547492669824612
DV-QRC,Global,2,0.011358895845877565,0.0021784275747620012
DV-QRC,Global,3,0.010607737498927567,0.0029609015101368292
CV-QRC,Local,1,0.071845483182420317,0.010262007411426003
CV-QRC,Local,2,0.0071312243653146295,0.0016932902908998154
CV-QRC,Local,3,0.0092020922126095847,0.0030221851619448804
CV-QRC,Clustered,1,0.016811860150323515,0.0043059841039785008
CV-QRC,Clustered,2,0.0066269161451559064,0.0023116017808479171
CV-QRC,Clustered,3,0.0077638884662022973,0.00055928456530372457
CV-QRC,Global,1,0.04232523920278447,0.02967057521685558
CV-QRC,Global,2,0.0069867131194400979,0.0013895751011690966
CV-QRC,Global,3,0.0068659485399479537,0.0037622166273599336
ESN,Local,1,0.043848826479285175,0.017283088899530182
ESN,Local,2,0.01687016385227871,0.011280276984123157
ESN,Local,3,0.023741586985017184,0.0074148356525552458
ESN,Clustered,1,0.026111990182530097,0.0093493144895707998
ESN,Clustered,2,0.0093886372702097383,0.0028464133032009699
ESN,Clustered,3,0.013369773441888144,0.004990713165630576
ESN,Global,1,0.033221975577635607,0.0064631273231832665
ESN,Global,2,0.010088691942124086,0.0028490063273206999
ESN,Global,3,0.012552330409563722,0.0039796345880341753
