subpanel,model,encoding,resource_quantity,performance_quantity,gamma,rho_sweep,rho_fixed,ci_low,ci_high,k_couplings,n_seeds,peak_offset_decades
a,DV-QRC,Local,negativity,C_mix,7,0.70820542140252796,0.089579408291643556,-0.09487815927922677,0.26808997989402739,7,20,-0.33333333333333309
a,DV-QRC,Clustered,negativity,C_mix,4,0.94912280701754381,0.25695154069695458,0.062952158132939862,0.43223984416894884,6,20,0
a,DV-QRC,Global,negativity,C_mix,3,0.75263157894736843,0.073390328663617457,-0.12561661019498974,0.26671947048189143,6,20,0
a,CV-QRC,Local,squeezing,C_mix,6,0.9140350877192982,0.18184505457152389,0.071486652907133588,0.2878051726899728,19,20,-1.3333333333333339
a,CV-QRC,Clustered,squeezing,C_mix,5,0.99824561403508771,-0.042152235599750836,-0.15324188777567721,0.069989533396602882,19,20,0
a,CV-QRC,Global,squeezing,C_mix,3,0.99298245614035086,-0.1692525040358635,-0.27584420562544471,-0.058548603996304897,19,20,-0.33333333333333393
b,DV-QRC,Local,negativity,minus_NRMSE,10,0.86315789473684201,-0.25534476044277793,-0.41869343143410875,-0.075990730143988994,7,20,-0.33333333333333309
b,DV-QRC,Clustered,negativity,minus_NRMSE,5,0.80000000000000004,0.13221046265869066,-0.051948798320324015,0.30767344746344089,7,20,-1.333333333333333
b,DV-QRC,Global,negativity,minus_NRMSE,3,-0.9017543859649122,0.0034060668496856813,-0.1939132171645532,0.20046047408588916,6,20,-5.333333333333333
b,CV-QRC,Local,squeezing,minus_NRMSE,7,0.57368421052631569,0.13770999203501158,0.026303097202315714,0.24573811082749999,19,20,-0.66666666666666696
b,CV-QRC,Clustered,squeezing,minus_NRMSE,18,0.78947368421052633,0.057378537072730426,-0.054784840546369284,0.1681118976562733,19,20,0
b,CV-QRC,Global,squeezing,minus_NRMSE,13,0.49473684210526314,0.47743123241960711,0.38623766193562947,0.55938193019291171,19,20,-2.666666666666667
