model,encoding,n_shots_per_setting,n_settings,readout_dimension,mixing_capacity_mean,mixing_capacity_sd,n_realizations
DV-QRC,Local,10000,3,12,0.9957154940574211,0.62540348582491945,20
DV-QRC,Local,1000000,3,12,1.6144031767870577,0.57794528736302286,20
DV-QRC,Local,100000000,3,12,2.2385471093264782,0.34783390700008804,20
DV-QRC,Local,10000000000,3,12,2.5235841905550922,0.29262175711857463,20
DV-QRC,Local,1000000000000,3,12,2.6474797773120438,0.30031503598122328,20
DV-QRC,Local,inf,3,12,2.6672958061406451,0.34165725647977024,20
DV-QRC,Clustered,10000,3,12,0.94473384041468633,0.54186341792514114,20
DV-QRC,Clustered,1000000,3,12,1.6287086736433429,0.57565614501725493,20
DV-QRC,Clustered,100000000,3,12,2.0567192374960497,0.34897280565961164,20
DV-QRC,Clustered,10000000000,3,12,2.298374972651815,0.3505327389418964,20
DV-QRC,Clustered,1000000000000,3,12,2.3975022314326502,0.30046590113930022,20
DV-QRC,Clustered,inf,3,12,2.4940880339566807,0.24395117457969984,20
DV-QRC,Global,10000,3,12,2.1442123214229785,0.37114512491232532,20
DV-QRC,Global,1000000,3,12,2.3844877186838946,0.39594101539260418,20
DV-QRC,Global,100000000,3,12,2.4027119985728369,0.31113758542598702,20
DV-QRC,Global,10000000000,3,12,2.5458397237748143,0.3309301493639738,20
DV-QRC,Global,1000000000000,3,12,2.6142868957269423,0.35889072601250827,20
DV-QRC,Global,inf,3,12,2.4678432692901469,0.29558121974925611,20
CV-QRC,Local,10000,1,10,1.2111698368988264,0.28728675346760196,20
CV-QRC,Local,1000000,1,10,1.6931250407084086,0.23289719916270493,20
CV-QRC,Local,100000000,1,10,1.8635023693972761,0.25532203296842637,20
CV-QRC,Local,10000000000,1,10,2.0388563570434788,0.41629074059991472,20
CV-QRC,Local,1000000000000,1,10,2.2977599666501489,0.41199421732728475,20
CV-QRC,Local,inf,1,10,2.9545960298165976,0.32881091357907111,20
CV-QRC,Clustered,10000,1,10,0.79440383611661858,0.34773224717977536,20
CV-QRC,Clustered,1000000,1,10,1.1942409857957645,0.38778999494985134,20
CV-QRC,Clustered,100000000,1,10,1.6196633372195313,0.29295379053435244,20
CV-QRC,Clustered,10000000000,1,10,1.761963436945021,0.26000786734183662,20
CV-QRC,Clustered,1000000000000,1,10,1.8463393635945411,0.24799948247857487,20
CV-QRC,Clustered,inf,1,10,2.1640877086329402,0.36481612100342986,20
CV-QRC,Global,10000,1,10,1.3099728879302468,0.31536018680406497,20
CV-QRC,Global,1000000,1,10,1.763662741302535,0.31148151553431525,20
CV-QRC,Global,100000000,1,10,1.9966751168987646,0.24165707867668348,20
CV-QRC,Global,10000000000,1,10,1.9969963350399353,0.25239698321594428,20
CV-QRC,Global,1000000000000,1,10,2.0142303064010316,0.24955536994845134,20
CV-QRC,Global,inf,1,10,2.0068090928802453,0.22206803919145504,20
