model,encoding,D,n,C_mix_mean,C_mix_sd
DV-QRC,Local,2,2,0.19664154954425511,0.086053674091099361
DV-QRC,Local,2,3,0.23376955265516841,0.046145455757029961
DV-QRC,Local,2,4,0.22502800449145766,0.022690743388328573
DV-QRC,Local,2,5,0.22573182687188531,0.022189777817245352
DV-QRC,Local,2,6,0.22139227041414539,0.011245841576408422
DV-QRC,Local,3,3,0.063102117735785168,0.023911909639374791
DV-QRC,Local,3,4,0.081746749247608247,0.0068228639077147837
DV-QRC,Local,3,5,0.099969652101327744,0.0086106590420471588
DV-QRC,Local,3,6,0.10719701902299196,0.0048995785677019704
DV-QRC,Local,4,4,0.029782923322871011,0.0042704997206484121
DV-QRC,Local,4,5,0.039316712565562323,0.0046819420775909811
DV-QRC,Local,4,6,0.051803610597961326,0.0021132146668089817
DV-QRC,Local,5,5,0.019980753674719052,0.0036810503990351846
DV-QRC,Local,5,6,0.021729800680720637,0.0021906047818472719
DV-QRC,Clustered,2,2,0.11519124284628654,0.062068931529147518
DV-QRC,Clustered,2,3,0.17888343230626594,0.044337040219140235
DV-QRC,Clustered,2,4,0.20074883356730716,0.027150859710726467
DV-QRC,Clustered,2,5,0.20845655435364469,0.020471559178115079
DV-QRC,Clustered,2,6,0.23126925980132534,0.021555376707577251
DV-QRC,Clustered,3,3,0.058466028376994786,0.013495835319232154
DV-QRC,Clustered,3,4,0.077888469869797597,0.01401715988935608
DV-QRC,Clustered,3,5,0.08691339036534923,0.012593889136838902
DV-QRC,Clustered,3,6,0.096909016948835094,0.0066237254099310652
DV-QRC,Clustered,4,4,0.026846282674862693,0.0080216232579633628
DV-QRC,Clustered,4,5,0.039970236766002865,0.0056318980065063699
DV-QRC,Clustered,4,6,0.050814930899444152,0.0045091642524922601
DV-QRC,Clustered,5,5,0.018043833283902948,0.0027971622967324448
DV-QRC,Clustered,5,6,0.02345446735092966,0.0029056227136943125
DV-QRC,Global,2,2,0.15960227266841584,0.050141837214585226
DV-QRC,Global,2,3,0.19979540119248571,0.030682395412987937
DV-QRC,Global,2,4,0.20454978253456302,0.033759766428489095
DV-QRC,Global,2,5,0.23582882245911191,0.016620602085926087
DV-QRC,Global,2,6,0.22963338222143398,0.013057291330618059
DV-QRC,Global,3,2,0.11556721711106949,0.021305988131842681
DV-QRC,Global,3,3,0.10638307918459081,0.018599777766714967
DV-QRC,Global,3,4,0.094697494686623196,0.018371213934599062
DV-QRC,Global,3,5,0.10990593935477118,0.012665789620482332
DV-QRC,Global,3,6,0.11907414528617251,0.01020688674251324
DV-QRC,Global,4,2,0.067826756056474924,0.0073553061197126216
DV-QRC,Global,4,3,0.06713751566733471,0.0064833913611904723
DV-QRC,Global,4,4,0.066934996580856249,0.0058414277708049057
DV-QRC,Global,4,5,0.067933043742491983,0.0047692218851300835
DV-QRC,Global,4,6,0.069887671017456798,0.0056060264658252118
DV-QRC,Global,5,2,0.043892606588845418,0.0031316481411319281
DV-QRC,Global,5,3,0.043707598052119698,0.0029669939935225548
DV-QRC,Global,5,4,0.043312186828154096,0.0027535711485051871
DV-QRC,Global,5,5,0.044691625065197062,0.0029103252022303146
DV-QRC,Global,5,6,0.045258850471488643,0.0032476632074570399
CV-QRC,Local,2,2,0.33333044177409166,1.0113521011660055e-06
CV-QRC,Local,2,3,0.1935306020861273,0.021249382007139869
CV-QRC,Local,2,4,0.29156931425343924,0.035712291523454842
CV-QRC,Local,2,5,0.26703542541566966,0.010988306165245652
CV-QRC,Local,2,6,0.30375692093210616,0.050266350274265743
CV-QRC,Local,3,3,0.16666501021375346,1.7347235030292403e-06
CV-QRC,Local,3,4,0.11182963098588394,0.0057857498936186216
CV-QRC,Local,3,5,0.13054255442185275,0.0086617670417011849
CV-QRC,Local,3,6,0.14871546815804379,0.009830551582973461
CV-QRC,Local,4,4,0.099999436975842682,3.3808477625143565e-08
CV-QRC,Local,4,5,0.071811323021869808,0.002582390528769467
CV-QRC,Local,4,6,0.073237779329754796,0.002409721583977135
CV-QRC,Local,5,5,0.06666651996683863,4.358236655636531e-08
CV-QRC,Local,5,6,0.05044224821647933,0.00093125454030670027
CV-QRC,Clustered,2,2,0.33330425615350689,2.2398578336347255e-05
CV-QRC,Clustered,2,3,0.19006745615719098,0.020261672393806617
CV-QRC,Clustered,2,4,0.20022175473329265,0.037930885061203276
CV-QRC,Clustered,2,5,0.2210464791497789,0.017515766017722013
CV-QRC,Clustered,2,6,0.23995139556858719,0.011949196892134924
CV-QRC,Clustered,3,3,0.16665837039246506,3.6548719042546855e-06
CV-QRC,Clustered,3,4,0.111782208120652,0.0072093431635753555
CV-QRC,Clustered,3,5,0.12627283431773595,0.0089054025068081941
CV-QRC,Clustered,3,6,0.10872739554356876,0.0085163805832694263
CV-QRC,Clustered,4,4,0.099988707101882082,4.4049208167074159e-05
CV-QRC,Clustered,4,5,0.070388507787839893,0.0026649092146624892
CV-QRC,Clustered,4,6,0.073411982159637137,0.0052700295093429574
CV-QRC,Clustered,5,5,0.066665967252431887,7.1872394938379936e-07
CV-QRC,Clustered,5,6,0.050463519211462728,0.0010527599736380579
CV-QRC,Global,2,2,0.17674451595021082,0.089249953538962035
CV-QRC,Global,2,3,0.16663887292808932,0.00012063501071339321
CV-QRC,Global,2,4,0.19960998067138697,0.025311156631424615
CV-QRC,Global,2,5,0.24362885479501842,0.013252900672705093
CV-QRC,Global,2,6,0.24162649205264927,0.014509819185294839
CV-QRC,Global,3,2,0.075370910354133167,0.016859362570851175
CV-QRC,Global,3,3,0.10473245228142571,0.015288406247732398
CV-QRC,Global,3,4,0.099363690271387528,0.0020041248964558682
CV-QRC,Global,3,5,0.10698628714887565,0.0098281320172364673
CV-QRC,Global,3,6,0.11509697014973788,0.0068685187922320444
CV-QRC,Global,4,2,0.040971849092010612,0.0056272454703368193
CV-QRC,Global,4,3,0.061516203513348217,0.0053616625636217505
CV-QRC,Global,4,4,0.06877141601785261,0.0041308909206818536
CV-QRC,Global,4,5,0.066418932041954482,0.00037934812199316134
CV-QRC,Global,4,6,0.064258677935572328,0.0045783810090227299
CV-QRC,Global,5,2,0.027298489721814475,0.0020330232894084188
CV-QRC,Global,5,3,0.041294569078094895,0.003134599678381764
CV-QRC,Global,5,4,0.047480397366311523,0.0026342954021322702
CV-QRC,Global,5,5,0.049118783407009071,0.0018378457311935704
