model,encoding,gamma,encoding_strength,coupling_strength,NRMSE
DV-QRC,Local,10,0.0001,1.0000000000000001e-05,0.20000437187328041
DV-QRC,Local,10,0.0001,2.1544346900318823e-05,0.2049783774105948
DV-QRC,Local,10,0.0001,4.6415888336127818e-05,0.20019986632558201
DV-QRC,Local,10,0.0001,0.0001,0.20163980747248861
DV-QRC,Local,10,0.0001,0.00021544346900318823,0.20227758452405725
DV-QRC,Local,10,0.0001,0.00046415888336127773,0.19783152816611832
DV-QRC,Local,10,0.0001,0.001,0.20618451286807632
DV-QRC,Local,10,0.0001,0.0021544346900318821,0.21144575019917772
DV-QRC,Local,10,0.0001,0.0046415888336127772,0.23098336142555914
DV-QRC,Local,10,0.0001,0.01,0.20429135382725763
DV-QRC,Local,10,0.0001,0.021544346900318822,0.20498466305666008
DV-QRC,Local,10,0.0001,0.046415888336127774,0.21865531673105951
DV-QRC,Local,10,0.0001,0.10000000000000001,0.20002269927249033
DV-QRC,Local,10,0.0001,0.21544346900318823,0.21287009041497845
DV-QRC,Local,10,0.0001,0.46415888336127725,0.19806307010839061
DV-QRC,Local,10,0.0001,1,0.18665089142146141
DV-QRC,Local,10,0.0001,2.154434690031882,0.19089634846585221
DV-QRC,Local,10,0.0001,4.6415888336127722,0.18231626154717009
DV-QRC,Local,10,0.0001,10,0.20745928382635995
DV-QRC,Local,10,0.00021544346900318845,1.0000000000000001e-05,0.19640996584033596
DV-QRC,Local,10,0.00021544346900318845,2.1544346900318823e-05,0.19752329170971511
DV-QRC,Local,10,0.00021544346900318845,4.6415888336127818e-05,0.19760386199155475
DV-QRC,Local,10,0.00021544346900318845,0.0001,0.2002177632735993
DV-QRC,Local,10,0.00021544346900318845,0.00021544346900318823,0.20944879315861326
DV-QRC,Local,10,0.00021544346900318845,0.00046415888336127773,0.20170328747434024
DV-QRC,Local,10,0.00021544346900318845,0.001,0.19591212581953393
DV-QRC,Local,10,0.00021544346900318845,0.0021544346900318821,0.19543888019680286
DV-QRC,Local,10,0.00021544346900318845,0.0046415888336127772,0.1951076010445208
DV-QRC,Local,10,0.00021544346900318845,0.01,0.19444889523692752
DV-QRC,Local,10,0.00021544346900318845,0.021544346900318822,0.2007661791399622
DV-QRC,Local,10,0.00021544346900318845,0.046415888336127774,0.20633755451902144
DV-QRC,Local,10,0.00021544346900318845,0.10000000000000001,0.19638731463964648
DV-QRC,Local,10,0.00021544346900318845,0.21544346900318823,0.20706297609310392
DV-QRC,Local,10,0.00021544346900318845,0.46415888336127725,0.19314791657874583
DV-QRC,Local,10,0.00021544346900318845,1,0.20396779979859209
DV-QRC,Local,10,0.00021544346900318845,2.154434690031882,0.18862197208275128
DV-QRC,Local,10,0.00021544346900318845,4.6415888336127722,0.19738833457551325
DV-QRC,Local,10,0.00021544346900318845,10,0.18403815733129222
DV-QRC,Local,10,0.00046415888336127773,1.0000000000000001e-05,0.19198163375666366
DV-QRC,Local,10,0.00046415888336127773,2.1544346900318823e-05,0.19149937867395703
DV-QRC,Local,10,0.00046415888336127773,4.6415888336127818e-05,0.19155483390245528
DV-QRC,Local,10,0.00046415888336127773,0.0001,0.19113597390125228
DV-QRC,Local,10,0.00046415888336127773,0.00021544346900318823,0.19090633840587293
DV-QRC,Local,10,0.00046415888336127773,0.00046415888336127773,0.18764782527729845
DV-QRC,Local,10,0.00046415888336127773,0.001,0.18982875462922105
DV-QRC,Local,10,0.00046415888336127773,0.0021544346900318821,0.1895369545209051
DV-QRC,Local,10,0.00046415888336127773,0.0046415888336127772,0.19215316268128288
DV-QRC,Local,10,0.00046415888336127773,0.01,0.2039311278147736
DV-QRC,Local,10,0.00046415888336127773,0.021544346900318822,0.18787700365820117
DV-QRC,Local,10,0.00046415888336127773,0.046415888336127774,0.18881077544211816
DV-QRC,Local,10,0.00046415888336127773,0.10000000000000001,0.18113613378938256
DV-QRC,Local,10,0.00046415888336127773,0.21544346900318823,0.18587995705669497
DV-QRC,Local,10,0.00046415888336127773,0.46415888336127725,0.18747016497719879
DV-QRC,Local,10,0.00046415888336127773,1,0.17006720387943802
DV-QRC,Local,10,0.00046415888336127773,2.154434690031882,0.16411469672862941
DV-QRC,Local,10,0.00046415888336127773,4.6415888336127722,0.15901573056519758
DV-QRC,Local,10,0.00046415888336127773,10,0.18441384517154902
DV-QRC,Local,10,0.001,1.0000000000000001e-05,0.18727494451858245
DV-QRC,Local,10,0.001,2.1544346900318823e-05,0.18657342619931944
DV-QRC,Local,10,0.001,4.6415888336127818e-05,0.1866965526712786
DV-QRC,Local,10,0.001,0.0001,0.18529044015439813
DV-QRC,Local,10,0.001,0.00021544346900318823,0.18309359872151573
DV-QRC,Local,10,0.001,0.00046415888336127773,0.18092593737680021
DV-QRC,Local,10,0.001,0.001,0.18276564240727525
DV-QRC,Local,10,0.001,0.0021544346900318821,0.1801070085108894
DV-QRC,Local,10,0.001,0.0046415888336127772,0.17749762373587391
DV-QRC,Local,10,0.001,0.01,0.18094197514486077
DV-QRC,Local,10,0.001,0.021544346900318822,0.1848008097085049
DV-QRC,Local,10,0.001,0.046415888336127774,0.17823366530187695
DV-QRC,Local,10,0.001,0.10000000000000001,0.17369333264552661
DV-QRC,Local,10,0.001,0.21544346900318823,0.16623837682357595
DV-QRC,Local,10,0.001,0.46415888336127725,0.16312535065852021
DV-QRC,Local,10,0.001,1,0.14648913869877805
DV-QRC,Local,10,0.001,2.154434690031882,0.14422034185534152
DV-QRC,Local,10,0.001,4.6415888336127722,0.16062400110939212
DV-QRC,Local,10,0.001,10,0.15650778019680392
DV-QRC,Local,10,0.0021544346900318821,1.0000000000000001e-05,0.18682727338093988
DV-QRC,Local,10,0.0021544346900318821,2.1544346900318823e-05,0.18565093279718042
DV-QRC,Local,10,0.0021544346900318821,4.6415888336127818e-05,0.1864494969358465
DV-QRC,Local,10,0.0021544346900318821,0.0001,0.18390622760106429
DV-QRC,Local,10,0.0021544346900318821,0.00021544346900318823,0.18272835145276362
DV-QRC,Local,10,0.0021544346900318821,0.00046415888336127773,0.17803344944743926
DV-QRC,Local,10,0.0021544346900318821,0.001,0.17780681824569886
DV-QRC,Local,10,0.0021544346900318821,0.0021544346900318821,0.17708546965676625
DV-QRC,Local,10,0.0021544346900318821,0.0046415888336127772,0.17484694953758056
DV-QRC,Local,10,0.0021544346900318821,0.01,0.17353880343135503
DV-QRC,Local,10,0.0021544346900318821,0.021544346900318822,0.1705231898901079
DV-QRC,Local,10,0.0021544346900318821,0.046415888336127774,0.17319524097082462
DV-QRC,Local,10,0.0021544346900318821,0.10000000000000001,0.15922142544028262
DV-QRC,Local,10,0.0021544346900318821,0.21544346900318823,0.15597237607028314
DV-QRC,Local,10,0.0021544346900318821,0.46415888336127725,0.1431425444631006
DV-QRC,Local,10,0.0021544346900318821,1,0.1344521000180304
DV-QRC,Local,10,0.0021544346900318821,2.154434690031882,0.13079955249795433
DV-QRC,Local,10,0.0021544346900318821,4.6415888336127722,0.13896253734497735
DV-QRC,Local,10,0.0021544346900318821,10,0.14748170334567762
DV-QRC,Local,10,0.0046415888336127772,1.0000000000000001e-05,0.18369566061491677
DV-QRC,Local,10,0.0046415888336127772,2.1544346900318823e-05,0.18329970191295381
DV-QRC,Local,10,0.0046415888336127772,4.6415888336127818e-05,0.18319647986177465
DV-QRC,Local,10,0.0046415888336127772,0.0001,0.18220500807752379
DV-QRC,Local,10,0.0046415888336127772,0.00021544346900318823,0.17873652854363492
DV-QRC,Local,10,0.0046415888336127772,0.00046415888336127773,0.17515745420750681
DV-QRC,Local,10,0.0046415888336127772,0.001,0.17343829957133539
DV-QRC,Local,10,0.0046415888336127772,0.0021544346900318821,0.1706562774536661
DV-QRC,Local,10,0.0046415888336127772,0.0046415888336127772,0.16899102602347876
DV-QRC,Local,10,0.0046415888336127772,0.01,0.1637061221617408
DV-QRC,Local,10,0.0046415888336127772,0.021544346900318822,0.1593298500522829
DV-QRC,Local,10,0.0046415888336127772,0.046415888336127774,0.15354073831327858
DV-QRC,Local,10,0.0046415888336127772,0.10000000000000001,0.14637594571241341
DV-QRC,Local,10,0.0046415888336127772,0.21544346900318823,0.13689012899413902
DV-QRC,Local,10,0.0046415888336127772,0.46415888336127725,0.12988781971353999
DV-QRC,Local,10,0.0046415888336127772,1,0.12500081322831641
DV-QRC,Local,10,0.0046415888336127772,2.154434690031882,0.12389084915975761
DV-QRC,Local,10,0.0046415888336127772,4.6415888336127722,0.12615930851730767
DV-QRC,Local,10,0.0046415888336127772,10,0.14098658676997941
DV-QRC,Local,10,0.01,1.0000000000000001e-05,0.17867064320490728
DV-QRC,Local,10,0.01,2.1544346900318823e-05,0.17776877974280175
DV-QRC,Local,10,0.01,4.6415888336127818e-05,0.17747923046119946
DV-QRC,Local,10,0.01,0.0001,0.17690418469582583
DV-QRC,Local,10,0.01,0.00021544346900318823,0.17596095360514613
DV-QRC,Local,10,0.01,0.00046415888336127773,0.17315494980577556
DV-QRC,Local,10,0.01,0.001,0.17054735182317704
DV-QRC,Local,10,0.01,0.0021544346900318821,0.16660430168169221
DV-QRC,Local,10,0.01,0.0046415888336127772,0.16080634757178641
DV-QRC,Local,10,0.01,0.01,0.15545513226352664
DV-QRC,Local,10,0.01,0.021544346900318822,0.14860523839088619
