subpanel,model,encoding,coupling_strength,seed,resource,performance
a,DV-QRC,Local,1.0000000000000001e-05,0,2.9297490885365629e-07,0
a,DV-QRC,Local,1.0000000000000001e-05,1,2.8785009010578926e-07,0
a,DV-QRC,Local,1.0000000000000001e-05,2,2.8605899300202405e-07,0
a,DV-QRC,Local,1.0000000000000001e-05,3,2.8776530311201836e-07,0
a,DV-QRC,Local,1.0000000000000001e-05,4,2.9600445968735446e-07,0
a,DV-QRC,Local,1.0000000000000001e-05,5,2.933319556594397e-07,0
a,DV-QRC,Local,1.0000000000000001e-05,6,2.9025899858104583e-07,0
a,DV-QRC,Local,1.0000000000000001e-05,7,2.8968378161701394e-07,0
a,DV-QRC,Local,1.0000000000000001e-05,8,2.9245178876880424e-07,0
a,DV-QRC,Local,1.0000000000000001e-05,9,2.8451370382256453e-07,0
a,DV-QRC,Local,1.0000000000000001e-05,10,2.8993140086182145e-07,0
a,DV-QRC,Local,1.0000000000000001e-05,11,2.9319865001010974e-07,0
a,DV-QRC,Local,1.0000000000000001e-05,12,2.921614038137482e-07,0
a,DV-QRC,Local,1.0000000000000001e-05,13,2.9133653184905257e-07,0
a,DV-QRC,Local,1.0000000000000001e-05,14,2.9211529895349121e-07,0
a,DV-QRC,Local,1.0000000000000001e-05,15,2.900531926707095e-07,0
a,DV-QRC,Local,1.0000000000000001e-05,16,2.9236200054319181e-07,0
a,DV-QRC,Local,1.0000000000000001e-05,17,2.8651708955299301e-07,0
a,DV-QRC,Local,1.0000000000000001e-05,18,2.9226989307800548e-07,0
a,DV-QRC,Local,1.0000000000000001e-05,19,2.9074838551680402e-07,0
a,DV-QRC,Local,2.1544346900318823e-05,0,2.9290059163815813e-07,0
a,DV-QRC,Local,2.1544346900318823e-05,1,2.919594318090265e-07,0
a,DV-QRC,Local,2.1544346900318823e-05,2,2.9028925932029429e-07,0
a,DV-QRC,Local,2.1544346900318823e-05,3,2.942054489780422e-07,0
a,DV-QRC,Local,2.1544346900318823e-05,4,2.9381645511031558e-07,0
a,DV-QRC,Local,2.1544346900318823e-05,5,2.8707919006743862e-07,0
a,DV-QRC,Local,2.1544346900318823e-05,6,2.9206200830887233e-07,0
a,DV-QRC,Local,2.1544346900318823e-05,7,2.8851292781362836e-07,0
a,DV-QRC,Local,2.1544346900318823e-05,8,2.8939464907784349e-07,0
a,DV-QRC,Local,2.1544346900318823e-05,9,2.8692585206929595e-07,0
a,DV-QRC,Local,2.1544346900318823e-05,10,2.8808753815954596e-07,0
a,DV-QRC,Local,2.1544346900318823e-05,11,2.9152322679333758e-07,0
a,DV-QRC,Local,2.1544346900318823e-05,12,2.8962956143370943e-07,0
a,DV-QRC,Local,2.1544346900318823e-05,13,2.8301808274907865e-07,0
a,DV-QRC,Local,2.1544346900318823e-05,14,2.9219432216823179e-07,0
a,DV-QRC,Local,2.1544346900318823e-05,15,2.9167100075582898e-07,0
a,DV-QRC,Local,2.1544346900318823e-05,16,2.9070451181928381e-07,0
a,DV-QRC,Local,2.1544346900318823e-05,17,2.9587695771596842e-07,0
a,DV-QRC,Local,2.1544346900318823e-05,18,2.949699627798955e-07,0
a,DV-QRC,Local,2.1544346900318823e-05,19,2.8687750155947577e-07,0
a,DV-QRC,Local,4.6415888336127818e-05,0,2.8887233711845181e-07,0
a,DV-QRC,Local,4.6415888336127818e-05,1,2.9044955363737051e-07,0
a,DV-QRC,Local,4.6415888336127818e-05,2,2.8822320632600165e-07,0
a,DV-QRC,Local,4.6415888336127818e-05,3,2.8899646350850939e-07,0.99901708488862184
a,DV-QRC,Local,4.6415888336127818e-05,4,2.9369033776749452e-07,0.99550132891633425
a,DV-QRC,Local,4.6415888336127818e-05,5,2.9414853375397489e-07,0
a,DV-QRC,Local,4.6415888336127818e-05,6,2.8563719807735185e-07,0.99547690502073749
a,DV-QRC,Local,4.6415888336127818e-05,7,2.9093628809093795e-07,0
a,DV-QRC,Local,4.6415888336127818e-05,8,2.9492281437616753e-07,0
a,DV-QRC,Local,4.6415888336127818e-05,9,2.9488288474774892e-07,1.0018552516393737
a,DV-QRC,Local,4.6415888336127818e-05,10,2.9240515875949518e-07,0.98676874975854412
a,DV-QRC,Local,4.6415888336127818e-05,11,2.9213869794778546e-07,0
a,DV-QRC,Local,4.6415888336127818e-05,12,2.904024244545649e-07,0.99925252103947482
a,DV-QRC,Local,4.6415888336127818e-05,13,2.8962808732735084e-07,1.0121029587426471
a,DV-QRC,Local,4.6415888336127818e-05,14,2.9347563332441991e-07,1.0009054209380597
a,DV-QRC,Local,4.6415888336127818e-05,15,2.9078949573847932e-07,0.96558468682387211
a,DV-QRC,Local,4.6415888336127818e-05,16,2.9154223899724328e-07,0.99914232710727846
a,DV-QRC,Local,4.6415888336127818e-05,17,2.9400106611874032e-07,1.0067266931608092
a,DV-QRC,Local,4.6415888336127818e-05,18,2.9841078298979237e-07,1.0006556404533045
a,DV-QRC,Local,4.6415888336127818e-05,19,2.9196317835666733e-07,0
a,DV-QRC,Local,0.0001,0,2.8487984790491248e-07,1.0021734773792261
a,DV-QRC,Local,0.0001,1,2.9820128439578457e-07,0.017642514378258034
